Gene symbol	avg_B cell	avg_NK cell	avg_T cell	avg_Monocyte	avg_Dendritic cell
GZMA	204.958358	13660.47953	4034.52042	132.0433731	128.6984558
GZMB	102.255299	15276.85279	58.9177582	61.71915165	82.17563279
GZMH	21.35853068	11889.00904	630.7749174	36.90093477	26.34630303
GZMK	184.0395826	1967.19369	3724.329794	67.13748264	81.98912286
GZMM	6.305414565	3771.290343	884.0128037	13.20630847	20.75077043
HAL	380.2322774	99.60146076	75.48182942	877.1793038	54.11520645
HCK	273.5706061	391.7033029	80.31784648	7368.002228	3772.369126
HDC	147.9736788	200.3498771	118.9595662	129.5522336	109.8186109
HESX1	6.869435614	8.440480409	5.971548735	8.365084929	1074.504512
HHEX	4489.488986	245.8936654	105.0214682	1914.137567	94.43877672
HIC1	5.092351833	15.68354842	5.971548735	7.017818913	12.15568636
HIST1H2AE	35.26722995	14.84822972	45.64822436	8.28188422	41.34339654
HIST1H2BG	17.44318854	68.37610587	190.054614	23.39236935	137.8269375
HK3	12.94364358	222.5053519	12.81515335	3103.136582	294.1705912
HLA-DOB	6607.334733	230.4248523	47.963256	102.1825691	2006.948626
HLA-DQA1	942.7749076	219.2102706	106.9349988	275.3534268	6417.316621
HMGB3P30	30.97425375	38.72002482	52.31915781	27.19577484	53.61427074
HNMT	61.73602193	26.91293797	11.06762282	815.4265044	279.1068543
HOXA1	12.90856012	11.76733746	6.91970575	10.68723722	8.30653615
HPGDS	203.7910498	177.6752993	182.147041	36.75265198	125.1233721
HPSE	30.8024485	29.9724331	207.2614073	1285.833086	30.84139727
HRH1	206.5394742	54.07639831	101.1491714	72.1745748	128.2673018
HSPA6	70.64960056	184.8377232	21.31200497	641.2142131	20.58127818
HTR2B	6.171513508	30.97175272	5.822857646	13.85052231	382.9194372
ICA1	191.4053509	133.7203845	289.2721081	183.2555042	190.5740318
ICOS	6.458825767	12.554434	786.5967435	5.362446048	6.159261216
IDO1	241.0650179	667.1972433	248.9097098	269.4662793	20536.85787
IFI44L	24.57422621	302.4006942	127.385545	307.8493777	4019.777684
IFNA10	63.51120873	8.565645005	13.99751273	13.10429637	8.554973126
IFNG	233.2462403	247.3486217	142.1822906	108.1486375	92.78571972
IGHD	10811.41236	32.58210537	26.14159933	50.4303708	56.63839916
